FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;2Y;2 years;3;2020-03-16;0.44
B;Business;2Y;2 years;3;2020-03-17;0.289
B;Business;2Y;2 years;3;2020-03-18;0.305
B;Business;2Y;2 years;3;2020-03-19;0.303
B;Business;2Y;2 years;3;2020-03-20;0.178
B;Business;2Y;2 years;3;2020-03-23;0.225
B;Business;2Y;2 years;3;2020-03-24;0.335
B;Business;2Y;2 years;3;2020-03-25;0.391
B;Business;2Y;2 years;3;2020-03-26;0.409
B;Business;2Y;2 years;3;2020-03-27;0.331
B;Business;2Y;2 years;3;2020-03-30;0.354
B;Business;2Y;2 years;3;2020-03-31;0.371
B;Business;2Y;2 years;3;2020-04-01;0.33
B;Business;2Y;2 years;3;2020-04-02;0.309
B;Business;2Y;2 years;3;2020-04-03;0.325
B;Business;2Y;2 years;3;2020-04-06;0.332
B;Business;2Y;2 years;3;2020-04-07;0.345
B;Business;2Y;2 years;3;2020-04-08;0.345
B;Business;2Y;2 years;3;2020-04-14;0.333
B;Business;2Y;2 years;3;2020-04-15;0.315
B;Business;2Y;2 years;3;2020-04-16;0.329
B;Business;2Y;2 years;3;2020-04-17;0.352
B;Business;2Y;2 years;3;2020-04-20;0.381
B;Business;2Y;2 years;3;2020-04-21;0.385
B;Business;2Y;2 years;3;2020-04-22;0.39
B;Business;2Y;2 years;3;2020-04-23;0.399
B;Business;2Y;2 years;3;2020-04-24;0.394
B;Business;2Y;2 years;3;2020-04-27;0.391
B;Business;2Y;2 years;3;2020-04-28;0.395
B;Business;2Y;2 years;3;2020-04-29;0.38
B;Business;2Y;2 years;3;2020-04-30;0.339
B;Business;2Y;2 years;3;2020-05-04;0.279
B;Business;2Y;2 years;3;2020-05-05;0.187
B;Business;2Y;2 years;3;2020-05-06;0.177
B;Business;2Y;2 years;3;2020-05-07;0.002
B;Business;2Y;2 years;3;2020-05-08;-0.034
B;Business;2Y;2 years;3;2020-05-11;-0.031
B;Business;2Y;2 years;3;2020-05-12;-0.017
B;Business;2Y;2 years;3;2020-05-13;-0.009
B;Business;2Y;2 years;3;2020-05-14;-0.017
B;Business;2Y;2 years;3;2020-05-15;-0.009
B;Business;2Y;2 years;3;2020-05-18;0.037
B;Business;2Y;2 years;3;2020-05-19;0.051
B;Business;2Y;2 years;3;2020-05-20;0.054
B;Business;2Y;2 years;3;2020-05-22;0.077
B;Business;2Y;2 years;3;2020-05-25;0.075
B;Business;2Y;2 years;3;2020-05-26;0.092
B;Business;2Y;2 years;3;2020-05-27;0.141
B;Business;2Y;2 years;3;2020-05-28;0.143
B;Business;2Y;2 years;3;2020-05-29;0.132
B;Business;2Y;2 years;3;2020-06-02;0.143
B;Business;2Y;2 years;3;2020-06-03;0.16
B;Business;2Y;2 years;3;2020-06-04;0.173
