Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y2M
2008-03-11,4.048759369933135,3.3534377274290104,3.4020472702460376,3.324747835088797,4.094541453887526,3.992342750383738,4.071945962626945,3.3675197457013057,3.546843589231104,3.470540636361105,3.4797578068913992,3.5370445168602638,3.328492072357845,3.9500676433964332,3.3795921778033624,3.923925117402775,3.586486955469198
2008-03-10,4.0455376054015195,3.272403028414897,3.332333818959234,3.234659931878779,4.09291037803628,3.98671382779428,4.0695696048600665,3.2663966501167314,3.5015822922536453,3.4135651749352087,3.4243145225830496,3.4903922039776245,3.239831483471929,3.942299347883103,3.304995050584144,3.9146852426480296,3.5465583584811426
2008-03-07,4.070571853140863,3.313689845712276,3.373483130298824,3.2754715451016705,4.11644649582648,4.01355526628411,4.093848492217672,3.3010925644359586,3.5404818706272945,3.4538586970604,3.464459279085931,3.5294891459824953,3.2807660323744976,3.9704643456400746,3.346283669453361,3.9436545912829075,3.5846148067291144
2008-03-06,4.083877579442216,3.326980320498529,3.389011620318349,3.286525733696133,4.1285012475777245,4.02825952556746,4.106533229364157,3.30631443548707,3.5590758538775997,3.471290981974474,3.4820770817191615,3.547977509247199,3.292206362571137,3.986106826262221,3.3609127135804755,3.959827780946525,3.6035237404054223
2008-03-05,4.091439231684637,3.3203806538170815,3.385849425681588,3.2764693090468926,4.135996168606395,4.035816457534758,4.114068614629519,3.283464042208254,3.5615465943345206,3.4713059599273635,3.48243648200141,3.5501773056256196,3.282758648822333,3.9935915995826123,3.356355096953287,3.9672361955075175,3.6069836198967926
2008-03-04,4.054787625365566,3.2933437608905347,3.3567583738312683,3.2514354860736905,4.099293106792908,3.999281032029641,4.0773863623541,3.2653121938420027,3.528910566720112,3.440249550437709,3.451162256021605,3.517718955947633,3.257376373111523,3.957184621342728,3.328105991577126,3.9309276885308053,3.5736897477682907
2008-03-03,4.0505070897771285,3.266264919819652,3.334306220145743,3.2201968081948245,4.095004557366875,3.9948544788321287,4.073115374317925,3.224505950542757,3.5150459119227278,3.4224843754743604,3.4339290020001654,3.5034112004085403,3.2268320953172207,3.9525274592497124,3.3037192702457396,3.926072660569165,3.561472220535107
2008-02-29,4.091786971956778,3.28533381149349,3.3613919985465297,3.231245961671127,4.134847203847102,4.037643285071232,4.113689946804956,3.2101112432991465,3.554481763401589,3.456764103830509,3.468961050895535,3.5423070073924756,3.2392802177200233,3.996238543616366,3.3275616139560875,3.9702572642326257,3.602791121070213
2008-02-28,4.187207849660415,3.4192993952650186,3.492604569586491,3.366144066929749,4.22835936475572,4.135528393173165,4.208134158517198,3.3304588944999782,3.67648390185804,3.5836328103332864,3.595237687224359,3.664927363999582,3.374145809079751,4.09605404452644,3.460118431335586,4.071303312999084,3.7223221480765414
2008-02-27,4.2194041046814075,3.4714296574545416,3.5430244900653447,3.4190311909466686,4.259762136517686,4.168786771330571,4.239921040348949,3.3765669871743307,3.7217097349398864,3.631547374664244,3.6428196597422318,3.7104894753375532,3.426969311929395,4.130171392465144,3.511350512726117,4.105979569450721,3.7662177764585616
2008-02-26,4.224993489487992,3.527269701970666,3.593631809075005,3.4785002529279447,4.263213087338004,4.17716502930579,4.2444137727872935,3.435261029079649,3.7591843619847967,3.6756074121367677,3.6860494164269344,3.7487755131809424,3.4859118860302956,4.140755511758052,3.5642907576219587,4.117979313477549,3.800502032739802
2008-02-25,4.170378747241301,3.4671273763809705,3.5328618829564613,3.4195865514863586,4.2092096822123555,4.121806892058226,4.190107808232723,3.3874708708085093,3.6988140664282265,3.6148112865596587,3.6252865638146208,3.688334571296482,3.426737407025592,4.084848627407808,3.50370407673913,4.061737154655514,3.740451688874926
2008-02-22,4.159594717907905,3.4766150652156087,3.5402081731749897,3.4307451855230213,4.1974223773135,4.11229323927894,4.178812675068133,3.401384001560455,3.7011001767285827,3.619615411526469,3.6297725229703084,3.6909309282927643,3.4376328912545477,4.076313139358099,3.5119848283035826,4.053818424931786,3.741514855129898
2008-02-21,4.198826254036908,3.5202896822401315,3.5869377454287257,3.470795374782851,4.234934765340861,4.15351786411933,4.217184385823279,3.4256199244425205,3.7507476888254754,3.668433256204545,3.6787574751191783,3.7405344960494036,3.478353115721486,4.1189321115346145,3.5575547229704876,4.097253716595544,3.7911877423984803
2008-02-20,4.171170660639629,3.431245644434506,3.5064195413724955,3.3750053946657816,4.2091065009860085,4.123383277748916,4.190473995714896,3.3243255914760903,3.6886946289182605,3.5975266135177613,3.609007456656598,3.677428169021267,3.383616749765932,4.086761965680363,3.4733542833295212,4.063743175383362,3.733181740287598
