Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y7M
2006-11-15,3.648053216691647,3.6417322685359186,3.65161182008548,3.701213968201116,3.6133118585948285,3.6610208365869013,3.6485543598959516,3.621352279875342,3.7121163722376678,3.6658186400140123,3.702788962719794,3.6500771328798813,3.6377864304603236,3.614556394324643,3.6642144132745496,3.6185720976587388,3.6156954176987326,3.63288869304111,3.648657493855544,3.6130300939227133
2006-11-14,3.626570813319291,3.6157536388604714,3.623831953709802,3.6747983732747285,3.584360585953701,3.633519100515485,3.620682093217537,3.5926219381588025,3.685968521069343,3.6384551319065626,3.676412726915669,3.6222510101146237,3.6112735606108597,3.5856266461567783,3.6368049543134005,3.590187543856707,3.5867943305525074,3.6045280690293993,3.6240440546723067,3.584078109818861
2006-11-13,3.6345811936385215,3.628543218983079,3.6437087719099925,3.695788775380724,3.6019708612653965,3.6536593387511402,3.6404648829157953,3.6111862940399484,3.7071400491215747,3.658717287148924,3.69743030013822,3.642081220715329,3.6246570956634963,3.603499146809824,3.657027160278493,3.6059722031242,3.604832076577714,3.6237304960555106,3.6353531481372467,3.6015968016906252
2006-11-10,3.632148976817565,3.620730636973795,3.6313666210861473,3.6840578156881234,3.5898012238291868,3.6414163225582525,3.62809375105208,3.598730132223307,3.695559927677635,3.6465292860102863,3.6857209508049724,3.6297242883646117,3.6161829146755204,3.5912218863720775,3.6448204852045016,3.5950547565277913,3.5924979640654264,3.6112528045732786,3.6292188549477205,3.5894696395501873
2006-11-09,3.6701751550998654,3.6648984955276616,3.6643487550618516,3.708348498814603,3.6331121045774326,3.6725741956565243,3.6616939781995894,3.6388224155477005,3.718178291328567,3.6767958841802493,3.7097657983719934,3.6630149518444526,3.6609063349838165,3.6338016847715804,3.6753824476599233,3.6407804849019367,3.634558664826553,3.6482917939316146,3.671759521543197,3.6330098158436144
2006-11-08,3.655256892498339,3.651072699459828,3.660378315642945,3.705434821868758,3.6257744163570194,3.6689084357133286,3.6576084143826706,3.633017392588038,3.7153640449423952,3.673261369240975,3.706868703064551,3.6589878425082487,3.647580526320393,3.6268944311337123,3.6718056549640288,3.63046783603773,3.627919808069041,3.643433367909188,3.6570954390572,3.625520821957796
2006-11-07,3.6465551521883097,3.6426909072501115,3.6599001384506504,3.7072902353905577,3.6213311031338065,3.668967892896233,3.65694127763816,3.6300778469380477,3.7176080834568355,3.673573388489567,3.708782394074978,3.65841579745324,3.6394254594320894,3.6228379523335836,3.6720346764081357,3.623887095856526,3.624117545130583,3.6416398987754417,3.6483616083155983,3.6209472283715245
2006-11-06,3.654120538797413,3.659586498219389,3.6990675078692115,3.749477085472861,3.6526285497856907,3.7089403363326734,3.69581143097009,3.664791202599324,3.7601608889145584,3.713902860781367,3.7510270990410906,3.6974364397362045,3.6577529541800415,3.655073787376739,3.7122483429893642,3.6489721220876365,3.656946250674166,3.678586433800965,3.662003546562515,3.6519181996763166
2006-11-03,3.6350510669717693,3.630779843396355,3.67044520134922,3.7264047096402386,3.6183735940438178,3.681460002349734,3.6668064183845037,3.63200213761649,3.7381788433157648,3.686986138031509,3.7281146889318806,3.6686228017939952,3.6277615356614197,3.6210950088880094,3.6851444775050544,3.61505627527105,3.623190030162122,3.6475075266619816,3.636230668773269,3.6175885502197516
2006-11-02,3.597293896152103,3.591825502484346,3.6354515503932916,3.688314010813383,3.5837085260313772,3.645983421012043,3.631954701141447,3.597840782741033,3.6992666496145663,3.651240125779869,3.689907786471417,3.6337014109962595,3.5890681524543884,3.5866308004970655,3.649490133616434,3.5784241369745944,3.5888309721015204,3.613224097445281,3.5970509294149067,3.582844756509524
