FREQ;Frequency;INSTRUMENT_TYPE;Instrument Type;TENOR;Tenor;UNIT_MEASURE;Unit of Measure;COLLECTION;DECIMALS;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-16;0.99;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-17;0.99;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-18;0.99;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-19;0.99;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-20;0.99;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-23;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-24;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-25;0.24;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-26;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-27;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-30;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-03-31;0.24;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-01;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-02;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-03;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-06;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-07;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-08;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-14;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-15;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-16;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-17;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-20;0.23;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-21;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-22;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-23;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-24;0.25;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-27;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-28;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-29;0.24;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-04-30;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-04;0.24;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-05;0.24;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-06;0.24;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-07;0.24;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-08;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-11;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-12;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-13;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-14;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-15;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-18;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-19;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-20;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-22;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-25;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-26;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-27;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-28;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-05-29;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-02;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-03;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-04;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-05;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-08;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-09;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-10;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-11;0;KP;Key Policy Rate
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-12;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-15;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-16;0;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-17;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-18;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-19;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-22;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-23;0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-24;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-25;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-26;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-29;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-06-30;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-01;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-02;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-03;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-06;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-07;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-08;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-09;0;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-10;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-13;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-14;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-15;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-16;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-17;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-20;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-21;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-22;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-23;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-24;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-27;0;A;Alternative method
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-28;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-29;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-30;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-07-31;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-03;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-04;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-05;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-06;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-07;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-10;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-11;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-12;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-13;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-14;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-17;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-18;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-19;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-20;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-21;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-24;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-25;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-26;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-27;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-28;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-08-31;0.04;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-01;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-02;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-03;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-04;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-07;-0.01;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-08;0;N;Normal
B;Business;NOWA;NOWA;ON;Overnight;R;Rate;;2;2020-09-09;0;N;Normal
