Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y11M
2015-11-25,-0.40751676638480383,0.37273378923831313,0.13236791618173793,0.2675776876632918,0.48203434993602823,-0.30472334348007823,-0.4071863921605807,0.3032762517161949,-0.16312837866667884,0.0695221287276162,-0.3360831259142012,0.6744005483513789
2015-11-24,-0.3725761852119325,0.4142676817077273,0.17233424447321166,0.30860179970996526,0.5237999871965471,-0.27048094786460375,-0.3721168880153387,0.3445046680300434,-0.1268470489674156,0.10884976616989306,-0.30219139400780026,0.7158344576526927
2015-11-23,-0.38455641636198923,0.43142982075343905,0.18862216823356093,0.3259684415510362,0.5398677119706443,-0.2715201561753231,-0.3840963075883357,0.3618994647732876,-0.11929136833552967,0.12407319058598087,-0.3057936251137807,0.7280054097977491
2015-11-20,-0.38055189010185764,0.38227111623581145,0.14760436005759292,0.27980003657859864,0.48845817353527554,-0.2822953115090785,-0.38000661064673924,0.3146210041541986,-0.14282284300780734,0.08599817083898742,-0.3130645587545082,0.6745489805472262
2015-11-19,-0.36461445845923457,0.3965829036037558,0.15818955545584856,0.29229160773820606,0.504945827416206,-0.2728247390569809,-0.36364535911047735,0.32769908065605424,-0.13422931035464192,0.09588220374392264,-0.30300784628248145,0.6955045948852594
2015-11-18,-0.3684268822359966,0.4292247958103532,0.18159190403356096,0.3208080524377106,0.5420338767453767,-0.2661396508561982,-0.3679263473291492,0.3576002147762152,-0.12168425929681881,0.11696495972396814,-0.2979443093108358,0.7408392230478125
2015-11-17,-0.3722214977881668,0.44226376511017307,0.1933130228375992,0.3333464691230352,0.555509117456225,-0.2608856108552251,-0.37209932282624525,0.3703193632451338,-0.11312864623421248,0.12821222523363573,-0.29389534493518177,0.7549538616789109
2015-11-16,-0.36564053339264735,0.44095194362051426,0.1925930140943164,0.33221115543866375,0.5541231821638162,-0.2574975295847848,-0.365544312163391,0.36911129562993494,-0.11180384240489438,0.12777402208990196,-0.28983354374886705,0.7536526531864354
2015-11-13,-0.36818401505126364,0.4595684071031485,0.21041123335080325,0.35061359411484005,0.5727882441271541,-0.24708086674420837,-0.3687648679754343,0.387607049259711,-0.09733179821963223,0.14516925939225533,-0.2809641878890119,0.7720674182092893
2015-11-12,-0.35186784148739303,0.5134348803561322,0.2552765975564233,0.401015243829991,0.6295257024091825,-0.2295743196473099,-0.3514379327107289,0.4392647734121189,-0.06929902227971407,0.18702165720679886,-0.2658839363499652,0.8321842231877818
2015-11-11,-0.3506169563392607,0.5196493359933445,0.257245305485589,0.4050875335037727,0.63840161764867,-0.22820897896404801,-0.35049546855467284,0.44401654088407216,-0.06896223669152768,0.18828111106822565,-0.26410133370221267,0.846732709501052
2015-11-10,-0.34323269581556026,0.5350208505064487,0.26840627219558577,0.4186107115979629,0.6556821162114872,-0.22318661027205167,-0.34293371331638234,0.4581674495794914,-0.06251729036719844,0.1983648924337471,-0.259146431561736,0.8673017005132904
2015-11-09,-0.3241739853856771,0.5804413187119284,0.3150811281790604,0.4646436545739743,0.7004273199104771,-0.18064107821015618,-0.32554538418701373,0.5039995145937519,-0.016322953254249484,0.24523446377717573,-0.21853481507231454,0.9108760210509139
2015-11-06,-0.3127863415564276,0.5767065649565559,0.3266933937674903,0.4678728108170329,0.6891407633151614,-0.15247196361826454,-0.3153501257708262,0.504902268098574,0.00967155417112231,0.260458435343625,-0.19112139100298364,0.8857128830410086
2015-11-05,-0.3266435458162764,0.5077512252362189,0.2639201459238203,0.40148938899143616,0.6176399356246067,-0.19499823893727353,-0.3276373207597114,0.4376280755935289,-0.04235122796764568,0.19954242652131793,-0.2302427550376489,0.8098834761108802
2015-11-04,-0.3320640302680218,0.47945188591592647,0.24094267457474405,0.3755107296807507,0.586914882758423,-0.20661847780455034,-0.33295691725962406,0.4108618224619347,-0.05826483341587263,0.17798389689307026,-0.24065580343539672,0.7748076633286325
2015-11-03,-0.32150594500797336,0.4823381263834081,0.24965694404750138,0.3810820146072533,0.5868223143547304,-0.19205534637113253,-0.3226274012028876,0.41554313887793093,-0.044452117416573955,0.18801797662756492,-0.2262983729964354,0.7690811203549561
2015-11-02,-0.3138971134064503,0.48466892584405574,0.2554264489199438,0.3850095118959409,0.587358846419864,-0.18284196003283437,-0.3151127907375244,0.4189436793384296,-0.035745830237259746,0.19455199115394173,-0.2171473247856044,0.7661658753823612
2015-10-30,-0.3251478799276315,0.44656492199028897,0.2229811717664889,0.349264681059565,0.5469674986183195,-0.20115601802916672,-0.3262369190757006,0.3823792178043144,-0.05952159228569265,0.16375931260030896,-0.2339813085604847,0.72209821239076
2015-10-29,-0.335512484739076,0.42497634040412446,0.20303716209084754,0.3283847016716921,0.5246488376571028,-0.216946686712153,-0.33625996993294205,0.3612574940800002,-0.07708564780396099,0.14426833640071557,-0.24916433214395095,0.6984917423027972
2015-10-28,-0.34426719955390883,0.38499523030390037,0.16484107117845692,0.2887900385737474,0.4848409035536356,-0.23979532502150125,-0.34464451405105123,0.32146719447745475,-0.10754811312373658,0.10711468190355955,-0.2695616792459834,0.6602448736239288
2015-10-27,-0.3483983479032391,0.3678689655982721,0.1517181620995265,0.27319819399675893,0.4664873180732876,-0.24216711824185833,-0.3491531391703715,0.3053159324378747,-0.11358659430132434,0.09532070255992586,-0.2712912320523282,0.640645087453489
2015-10-26,-0.3364513254566974,0.4109311971192735,0.18849214529479053,0.31373234558191143,0.5118465511805557,-0.22319033130145982,-0.33711933075763945,0.34674508841255314,-0.08755926263597402,0.13012925034208322,-0.25418506689374887,0.6893109097236101
2015-10-23,-0.3265147916815403,0.4229865930638974,0.1968904368936082,0.32419602687612503,0.5255087958220956,-0.21938737688833765,-0.32675762303186584,0.3577526113215024,-0.08313809038751341,0.13758378816265537,-0.250100148811395,0.7056228833422131
2015-10-22,-0.3472099823178407,0.39116107006115186,0.16970702854002262,0.2941234274179223,0.49239847301235695,-0.23645865860424387,-0.347457524631948,0.32703180740744653,-0.10274677424961798,0.11193588702451951,-0.26712741320068645,0.671728262539693
2015-10-21,-0.2739033616401265,0.5013293025025902,0.278808865863188,0.4041280544419461,0.602254187371102,-0.13842854432360951,-0.2761351653163473,0.4371436230350776,0.0010698288664352518,0.220335726420541,-0.17131643000131902,0.7798581707051602
2015-10-20,-0.26071360178287684,0.5456646190475594,0.3179529323479162,0.44650048824137656,0.6481702111383436,-0.1173697730184875,-0.2628254158541692,0.48023339439165813,0.029704806392814476,0.2576799074751195,-0.15233768316205332,0.8275291956208881
2015-10-19,-0.2825223218175994,0.48109102349163013,0.25749508281335576,0.38343927836928415,0.5824239246910254,-0.15968113814632545,-0.28371133010675376,0.41661298086045395,-0.021190723055141802,0.19873472919994306,-0.19177408944689578,0.7605555947196176
2015-10-16,-0.2866958080642341,0.4713602844608822,0.2517758058866857,0.37534668130554394,0.5711806206316536,-0.15656431853735508,-0.28888340392617273,0.407943914664604,-0.020816899652174925,0.19421885720521104,-0.18835135397263159,0.7471005953637739
2015-10-15,-0.28609180400894285,0.4677425284937504,0.2467242573051145,0.37108170552538766,0.5682489763752168,-0.1623328560041113,-0.287790863237392,0.40389636817595154,-0.027027069476964982,0.1888331543032642,-0.19369564221603586,0.7453757252778752
2015-10-14,-0.2715764054451757,0.4729887607634762,0.24975530305296711,0.37538185216288245,0.5743959358951152,-0.16055658493776992,-0.27234851804949844,0.40852443330591015,-0.026119799798890675,0.19128592901598207,-0.19105685223398083,0.7528275004364611
2015-10-13,-0.272246981216834,0.5051036533774305,0.2798629821922791,0.40680181735723586,0.6070094227714122,-0.14272662329886643,-0.27386900739523945,0.44020761363698657,-0.0018604446651657724,0.22057099306113326,-0.17560175762171948,0.7859163803784721
2015-10-12,-0.27602941269469916,0.49382150522120316,0.27216108549620177,0.3970975258406284,0.5940809045065913,-0.1449850665368686,-0.2778235343649067,0.4299689207503876,-0.00551590680794245,0.21378100569448222,-0.17771266531738306,0.7700979652314017
2015-10-09,-0.27150386797503767,0.5253726367773099,0.3001483147905146,0.4272414196546457,0.6268933982901439,-0.12945846295641594,-0.27364915690598046,0.46061415046788845,0.01559358312193826,0.2406007849820888,-0.163962686231919,0.8047309818733024
2015-10-08,-0.273727842561315,0.49871190146930555,0.2775626492562635,0.40227505942945285,0.598578955146853,-0.14057801784634094,-0.27560732083051587,0.4350594233186058,-0.00036596285636925074,0.21922418068028904,-0.1735963155398892,0.7736963902922307
