Period\Time Series:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y2M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y1M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y7M
2014-08-28,0.17503571394794282,-0.052808461550698294,1.101674163669255,-0.054871980677375864,0.6118324362135876,0.15316508216780278,-0.05369068218052053,0.09172218370315299,0.5211833891894608,0.9344152926275324,-0.05634409914975391,0.9691877857624345,-0.05665545148244622,-0.018266577765932546,0.8990342838414502,1.025713802322457,0.0004466076298483834,0.3417566905210583,0.957666405565913
2014-08-27,0.16487618088145162,-0.06007320831575447,1.1150583327212704,-0.06259039843666336,0.6116280131249061,0.1426413081989848,-0.0638526915108324,0.08033248188335218,0.5186593615189663,0.9430031162364081,-0.06448858773050015,0.9787614744361681,-0.06624291541965599,-0.029961116558446133,0.906625531089297,1.0369030565082307,-0.011424788475876024,0.3349523722263905,0.966912752406178
2014-08-26,0.1932232134347105,-0.055792032868849706,1.1679213419301515,-0.05777314736484085,0.6565308492140902,0.1697968621722863,-0.054996316237251985,0.10380278186868619,0.560977180602392,0.994280905172519,-0.059123484070165766,1.0304687317876846,-0.058584290006007844,-0.01545371640365012,0.9574141895304269,1.0891981126186412,0.005014810513711332,0.37097436562875963,1.0184833801489601
2014-08-25,0.1808960171536027,-0.0668511415913009,1.181894582430651,-0.0694934385080348,0.6582921293464103,0.15680004037191164,-0.07003029931597204,0.08905506305027977,0.5599170677584846,1.0047958315593144,-0.07145460940366277,1.0417740810195246,-0.07288970487458224,-0.03199601162659915,0.9670899177229755,1.1017112574035846,-0.011495409402904055,0.3640643199236129,1.0295307093128638
2014-08-22,0.22545735010334234,-0.03285071682126928,1.222959126223861,-0.03501189984526709,0.7032802765210935,0.20114455780378204,-0.03255237502679753,0.1325806427912113,0.6052222560562175,1.0475778860375478,-0.03650570587008861,1.084229992613846,-0.036203954201175836,0.008472980512956418,1.0101870439568756,1.1436023544441465,0.02977956282290517,0.40947004783770957,1.072096486711568
2014-08-21,0.22031382579968017,-0.03929554353345499,1.2308007809398482,-0.0416036449740842,0.704333128146204,0.19570942098264776,-0.0398084594957826,0.12635897938160312,0.6049744380082771,1.0531660783806798,-0.04323052001008687,1.0902935173872903,-0.04333111533920775,0.0011413761378151754,1.0152883088335969,1.150431238705277,0.02257858447950678,0.40664909727613896,1.078002882860802
2014-08-20,0.21551503019583684,-0.04289863468545008,1.2325853058153804,-0.04533590483293093,0.7020954619397157,0.190831201743217,-0.0442615378009763,0.12130925122493075,0.6021022299548084,1.0534726803013328,-0.04708508729901428,1.0908985728860205,-0.04760945503992842,-0.0038264187493930457,1.0152959318728145,1.1515312557210136,0.017527131742359536,0.4026561325549629,1.0785085428154755
2014-08-19,0.2240286887969951,-0.036190204226009826,1.255919696460749,-0.03875330536370747,0.7174264054975454,0.19902911471145313,-0.03821985541663997,0.1286527980153087,0.6159747317383735,1.0740608957394446,-0.04061544838000275,1.1120570637495941,-0.04147034859705023,0.0022568284780737358,1.0353043568780818,1.173617587947522,0.0237744195734777,0.4136916409582607,1.0994780348256192
2014-08-18,0.2329618100857367,-0.03304202604872852,1.2726315200001155,-0.03546455432583118,0.7307423792851306,0.207675452423163,-0.033915056708234914,0.13642182433172323,0.6285216501857986,1.089741205757674,-0.037184792644184395,1.1279621032938003,-0.037460660553812364,0.007916216301950385,1.0507503534472766,1.1898763683037084,0.029889270246374444,0.4245333369263875,1.1153092186007232
2014-08-15,0.22609682778350404,-0.030004866472236325,1.2558256704275141,-0.03262416780660704,0.7168608071728535,0.2013204379843323,-0.03262726433420715,0.13164062668790244,0.6157113094605879,1.0733856268996798,-0.034548274845500604,1.1114640709452122,-0.035702049558892224,0.00690921797274946,1.0345650848516454,1.173200611107947,0.028078562653575112,0.4143850217617997,1.0988556246700956
2014-08-14,0.2279853430425014,-0.02877478116826393,1.2663698519622448,-0.03150846639972027,0.7229260635159545,0.20301314340652787,-0.03204557254844742,0.13280852743353577,0.6209029079194046,1.082462633609179,-0.033536800852440596,1.1208525643077012,-0.035012321547868375,0.0073725113542786325,1.0433220338766285,1.183088505604191,0.028615521983178738,0.41784079638368077,1.1081412589755768
2014-08-13,0.23958879954082413,-0.029941190184594957,1.3035924400489751,-0.032470828701951504,0.7478206903882265,0.2138375279740874,-0.031306255850008124,0.14132411606772255,0.6432773022212421,1.115692504710192,-0.03428455777331729,1.1549298182643462,-0.03480413281117967,0.010855020751100675,1.0756801397933922,1.2185237331960224,0.03311512109350634,0.4349160328206514,1.1419387665535554
2014-08-12,0.2548082451759601,-0.03335875513064579,1.3134940884864754,-0.03497838017294219,0.7633568964253055,0.22872411179814378,-0.028245767672602007,0.15491178618915136,0.6593601135788543,1.1279235670819672,-0.0359121115906631,1.1667060990955855,-0.03319800437271958,0.01927116557848496,1.0883568491047138,1.2295268427291477,0.04293095444305273,0.45131947459541344,1.1538675356097636
2014-08-11,0.25210592943035426,-0.03385573917344864,1.308551289106382,-0.035659855876310154,0.7606274106417557,0.22601012548617838,-0.029928506544758093,0.1521904087167698,0.6567391002453773,1.1240982592777584,-0.03676679658607984,1.1626838360973304,-0.03464202828824625,0.016879662549603047,1.0847144276579694,1.2251460763820168,0.04040776771507648,0.4487227609584119,1.1499124657873327
2014-08-08,0.25217201306575276,-0.02966038709231955,1.2975934381777527,-0.03149775019952239,0.7552477444828671,0.22637371820933083,-0.026149464481266094,0.15341638546853886,0.6524384494216555,1.1150057058211509,-0.03264367755445896,1.153200610774542,-0.030728503967448972,0.01984881897546842,1.0760210648658166,1.2150311035189683,0.04304472143595994,0.4466238068393551,1.1405585067778867
2014-08-07,0.2619076665332587,-0.025598697106711255,1.3403058298246986,-0.02768353140316293,0.7808526550047645,0.23533105745758665,-0.023272040477812617,0.160227959653656,0.6747600594277845,1.1520275994973224,-0.029046660951299597,1.1914206760352872,-0.02771641220451526,0.023221084643909595,1.1118163847021396,1.255182540199078,0.046921297986510346,0.46240106913727175,1.178382398504783
2014-08-06,0.2701832030843212,-0.03538782457878065,1.3563854330248573,-0.036758517686747094,0.7950282429500444,0.2430558896324122,-0.027802732421552623,0.16611097335309744,0.6882005388449155,1.167761255582013,-0.037424445064985434,1.2072476393864884,-0.033467709304481286,0.02349649670139664,1.127442448386696,1.2711364135487804,0.04857314247255751,0.4737813651461229,1.1941797727957013
2014-08-05,0.3010846728358576,-0.016785710892927685,1.4201528198230813,-0.018129965362204015,0.8429766112942572,0.2730055353606753,-0.008372559841754335,0.19330505551692312,0.7328600997692796,1.2265047410068144,-0.01874577143064826,1.2670693635494317,-0.014368568799744796,0.045234764658376836,1.1850713021380699,1.3326736790100382,0.07132483057221695,0.5115744346467652,1.2536461465740825
2014-08-04,0.27744469989207854,-0.02050458303838454,1.3832448632320986,-0.022442772689364343,0.8093644395571413,0.2501733247661342,-0.016769552891299,0.17305204602632962,0.7006377806955335,1.1899655188346268,-0.023650399246665454,1.230389231483536,-0.021614171367319912,0.03186300352122817,1.148709683333914,1.2958359854522845,0.05638321929067658,0.48301536407690016,1.2170090044866813
